,banco,fecha,texto,src,rt,fav,palabras,country,type,place,desde,sigue_a,lo_siguen
105,BancoAzteca,2020-10-17 14:17:00,"tewtus64 Buenos Días, gracias por contactarnos. Con gusto te apoyamos y asesoramos con esta situación. Por favor envíanos un DM, esto por seguridad de tus datos. Estamos para servirte.",S1Gateway,0,0,"asesor,seguridad",,,,2010-09-06 15:09:31,2987,26722
108,BancoAzteca,2020-10-17 14:11:29,BancoAzteca para qué tener un cajero automático en su sucursal Cd Caucel Mérida Yuc. si NUNCA funciona. Mientras tanto hay que formarse y solo atiende un cajero físico. Cada vez que vengo lo reporto con los empleados pero de nada ha servido. Ojalá lo puedan solucionar.,Twitter for Android,0,0,sucursal,,,,2017-09-18 21:12:19,301,18
112,BancoAzteca,2020-10-17 13:59:11,atlasfc BancoAzteca Que no se usa  por que para mi los extranjeros nomas vienen a cobrar y no hacen nada mejor ese dinero que se les paga que lo inviertan en la cantera para jugadores que crezcan sabiendo lo que es el amor ala rojo y negra,Twitter for iPhone,0,0,dinero,,,,2019-05-26 23:02:02,6,1
113,BancoAzteca,2020-10-17 13:49:56,atlasfc BancoAzteca Que frío se siente aquí,Twitter for iPhone,0,0,,,,,2018-09-20 14:16:30,864,76
116,BancoAzteca,2020-10-17 13:35:54,atlasfc BancoAzteca Váyanse al pito,Twitter for Android,0,0,,,,,2020-02-16 01:16:39,531,15
117,BancoAzteca,2020-10-17 13:35:53,atlasfc Orlegi_Sports BancoAzteca Los últimos años han sido una decepción en los clásicos. Ojalá hoy nos sorprendan,Twitter for Android,0,2,,,,,2015-06-04 22:10:26,428,84
118,BancoAzteca,2020-10-17 13:35:40,emilioponce9891 atlasfc BancoAzteca Eso ya no se usa,Twitter for Android,0,0,,,,,2020-02-16 01:16:39,531,15
121,BancoAzteca,2020-10-17 13:23:51,atlasfc BancoAzteca Juegenlo con canteranos hay mas chance de ganar que con los extranjeros pecho frio que tienen ahorita los canteranos si sienten la playera,Twitter for iPhone,0,1,,US,city,"San Angelo, TX",2019-05-26 23:02:02,6,1
123,BancoAzteca,2020-10-17 13:09:14,atlasfc BancoAzteca Eso espero,Twitter for Android,0,0,,,,,2020-05-06 13:21:35,70,15
125,BancoAzteca,2020-10-17 13:03:06,atlasfc BancoAzteca Cuando es el partido,Twitter for Android,0,0,,,,,2019-07-05 18:44:16,9,7
129,BancoAzteca,2020-10-17 12:22:46,LGsus90 gruposalinas RicardoBSalinas arteyculturags CinetecaMexico BancoAzteca izzi_mx Jajajaja. De dónde sacas que izzi pertenece a grupo salinas?,Twitter for Android,0,0,,,,,2020-09-06 14:12:10,20,2
130,BancoAzteca,2020-10-17 10:37:33,QuirinoOC MazatlanFC BancoAzteca RicardoBSalinas Cancele el Carnaval no mame!,Twitter for Android,0,0,,,,,2018-06-09 18:57:48,647,18
131,BancoAzteca,2020-10-17 09:13:39,AmilkarDgzz QuirinoOC MazatlanFC BancoAzteca RicardoBSalinas Para eso están las autoridades si alguno no respeta.,Twitter for iPhone,0,0,,,,,2009-07-08 06:52:13,1579,175
132,BancoAzteca,2020-10-17 09:13:09,sektor107 QuirinoOC MazatlanFC BancoAzteca RicardoBSalinas Bueno siendo un destino turístico MZT tiene mucho sentido tener un equipo de fútbol. Si traes 5000 personas cada fin de semana son 2500 cuartos de hotel que benefician a miles de familias. Por eso parte de los recursos pueden ser públicos.,Twitter for iPhone,0,0,,,,,2009-07-08 06:52:13,1579,175
133,BancoAzteca,2020-10-17 09:08:21,MazatlanFC QuirinoOC BancoAzteca RicardoBSalinas Si somos. A Web...,Twitter for iPhone,0,0,,,,,2009-07-08 06:52:13,1579,175
134,BancoAzteca,2020-10-17 07:33:17,QuirinoOC MazatlanFC BancoAzteca RicardoBSalinas Con sus respectivos protocolos claro,Twitter for Android,0,0,,,,,2015-09-04 06:07:15,1879,1980
135,BancoAzteca,2020-10-17 07:28:10,"rt vía Twitter by Silviadgn ➡ ""BancoAzteca bienestarmx Reportó q no está funcionando el cajero de Taxqueña y Tláhuac. Por qué le dan la concesión de las tarjetas bienestar si Banco Azteca no tiene la infraestructura de soporte. Ayer no funcionaban … https://t.co/FGZwpaprij",IFTTT,0,0,tarjeta,,,,2015-09-01 02:27:59,896,3971
136,BancoAzteca,2020-10-17 07:24:44,"julioastillero Y RicardoBSalinas hace lo mismo con BancoAzteca ,desaparecen dinero de cuentas digitales.  CondusefMX GobiernoMX lopezobrador_ SEGOB_mx SATMX senadomexicano DiputadosMorena",Twitter for iPad,0,0,"cuenta,dinero",,,,2011-10-16 06:25:21,946,45
