,fecha,texto,src,rt,fav
67,2020-10-17 03:23:58,"Pago una docena de chorizos a quien me de un teléfono y me atienda de una el reputo BBVA con todos sus toquen, numerales y 0800 diseñados por un sovietico hdp",Twitter for iPhone,260,0
68,2020-10-17 03:21:51,"@paolobenza Soy microempresario, tenemos una cuenta @bbva_peru + de 12 años, solicité el crédito Reactiva con mi sectorista en 2 oportunidades y fueron denegadas a pesar de cumplir con los requisitos, pedí las razones y en vez de respuestas me ofrecieron otro productos de capital de trabajo. https://t.co/gkPS6WS1Po",Twitter Web App,9,0
69,2020-10-17 03:21:43,"Si eres cuentahabiente de Santander o BBVA cuidado con esto (por QuintoPoder) https://t.co/oFLjSgcv6e a través de @julioastillero buen dia,lo mas seguro es que algo grande y de la",Twitter Web App,0,0
70,2020-10-17 03:21:35,"A estas horas estaría ebrio pidiendo Adelanto Sueldo del BBVA para pedir otra ronda más de venenos en Tizon, csm.",Twitter for Android,0,2
71,2020-10-17 03:21:21,"🤣🤣😂😂🤣🤣😂😂🤣🤣😂😂🤣🤣😂 Periodismo serio... patrocinado por Banco Santander, BBVA, el Pais, etc etc. Isabel Gemio: “Ahora más que nunca es necesario el periodismo serio y riguroso, con respeto a las víctimas” https://t.co/vabkVtFOJ6",Twitter for Android,14,0
72,2020-10-17 03:20:55,"@jlsteeg Ta bueno, no pidan perdón. Pero aquí ya no aceptamos aceptamos españoles rateros, corruptos, tramposos, mezquinos y desgraciados, saquense a CHSM del país con todo y OHL, Iberdrola, Santander, BBVA, Repsol y demás empresas usureras y miserables.",Twitter for Android,0,0
73,2020-10-17 03:20:54,"🤣🤣😂😂🤣🤣😂😂🤣🤣😂😂🤣🤣😂 Periodismo serio... patrocinado por Banco Santander, BBVA, el Pais, etc etc. Isabel Gemio: “Ahora más que nunca es necesario el periodismo serio y riguroso, con respeto a las víctimas” https://t.co/vabkVtFOJ6",Twitter for Android,14,0
74,2020-10-17 03:20:46,"El Kraken ya puso más ambiente en 5 minutos que el BBVA en todo el 2020.

Datos, no opiniones. @migangelgarzam @IngRodriguezM",Twitter for Android,5,0
75,2020-10-17 03:20:20,"🤣🤣😂😂🤣🤣😂😂🤣🤣😂😂🤣🤣😂 Periodismo serio... patrocinado por Banco Santander, BBVA, el Pais, etc etc. Isabel Gemio: “Ahora más que nunca es necesario el periodismo serio y riguroso, con respeto a las víctimas” https://t.co/vabkVtFOJ6",Twitter for Android,14,0
76,2020-10-17 03:20:05,"🤣🤣😂😂🤣🤣😂😂🤣🤣😂😂🤣🤣😂 Periodismo serio... patrocinado por Banco Santander, BBVA, el Pais, etc etc. Isabel Gemio: “Ahora más que nunca es necesario el periodismo serio y riguroso, con respeto a las víctimas” https://t.co/vabkVtFOJ6",Twitter for Android,14,0
77,2020-10-17 03:19:40,"🤣🤣😂😂🤣🤣😂😂🤣🤣😂😂🤣🤣😂 Periodismo serio... patrocinado por Banco Santander, BBVA, el Pais, etc etc. Isabel Gemio: “Ahora más que nunca es necesario el periodismo serio y riguroso, con respeto a las víctimas” https://t.co/vabkVtFOJ6",Twitter Web App,14,0
78,2020-10-17 03:19:37,"🤣🤣😂😂🤣🤣😂😂🤣🤣😂😂🤣🤣😂 Periodismo serio... patrocinado por Banco Santander, BBVA, el Pais, etc etc. Isabel Gemio: “Ahora más que nunca es necesario el periodismo serio y riguroso, con respeto a las víctimas” https://t.co/vabkVtFOJ6",Twitter for Android,14,0
79,2020-10-17 03:19:35,"🤣🤣😂😂🤣🤣😂😂🤣🤣😂😂🤣🤣😂 Periodismo serio... patrocinado por Banco Santander, BBVA, el Pais, etc etc. Isabel Gemio: “Ahora más que nunca es necesario el periodismo serio y riguroso, con respeto a las víctimas” https://t.co/vabkVtFOJ6",Twitter Web App,14,0
80,2020-10-17 03:19:07,"🤣🤣😂😂🤣🤣😂😂🤣🤣😂😂🤣🤣😂 Periodismo serio... patrocinado por Banco Santander, BBVA, el Pais, etc etc. Isabel Gemio: “Ahora más que nunca es necesario el periodismo serio y riguroso, con respeto a las víctimas” https://t.co/vabkVtFOJ6",Twitter for iPhone,14,0
